RegioNaam;Partij van de Arbeid;VVD;CDA;Democraten 66;GL;SP;Reformatorische Politieke Federatie;Staatkundig Gereformeerde Partij;Gereformeerd Politiek Verbond;Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Aa en Hunze;0.4121118809340518;0.29477803438542466;0.08416730818578394;0.09680523479599693;0.05536309982037465;0.020913523222992045;0.00596612779060816;0.0007056710289966641;0.0066076469078778545;0.0;0.006735950731331794;0.003913266615345137;0.003464203233256351;0.0032075955863484734;0.0012830382345393892;0.002052861175263023;0.00012830382345393893;0.00019245573518090838;0.0;0.0010264305876315114;0.00038491147036181676;0.00019245573518090838
Aalburg;0.15168042452830188;0.18558372641509435;0.21786556603773585;0.028744103773584904;0.02446933962264151;0.017246462264150945;0.10436320754716981;0.22449882075471697;0.020784198113207548;0.009876179245283018;0.002800707547169811;0.006191037735849057;0.0019162735849056604;0.0022110849056603773;0.00029481132075471697;0.0004422169811320755;0.0;0.00029481132075471697;0.0004422169811320755;0.0;0.00029481132075471697;0.0
Aalsmeer;0.21184122995047674;0.3725330770936507;0.19439722078498042;0.09128538694655924;0.04523615936137187;0.013009091581048118;0.026979081972060018;0.005100155222115456;0.009387242220415403;0.005691477566708552;0.0032522728952620295;0.00724369872126543;0.004508832877522359;0.005100155222115456;0.0012565599822603297;0.0012565599822603297;0.0008869835168896445;0.00029566117229654814;0.0;0.00022174587922241113;0.00036957646537068517;0.00014783058614827407
Aalten;0.24878706199460918;0.141329739442947;0.4270440251572327;0.048607367475292006;0.04986522911051213;0.01761006289308176;0.04195867026055705;0.0016172506738544475;0.005031446540880503;0.0033243486073674753;0.0022461814914645105;0.004043126684636119;0.002336028751123091;0.0025157232704402514;0.0005390835579514825;0.001078167115902965;0.00035938903863432165;0.00026954177897574127;0.0008086253369272237;0.00017969451931716083;0.00017969451931716083;0.00026954177897574127
Abcoude;0.19030057163931402;0.36087036695555963;0.18200258159690208;0.13682463581043702;0.058823529411764705;0.014198782961460446;0.013461183846579385;0.007191591370090356;0.009219988936013277;0.004609994468006639;0.002397197123363452;0.007744790706251153;0.0036879955744053105;0.0027659966808039832;0.0029503964595242486;0.0011063986723215931;0.0003687995574405311;0.0;0.0007375991148810622;0.0;0.0;0.0007375991148810622
Achtkarspelen;0.30214149843529486;0.09560041725470945;0.3681045591213107;0.037062035957538195;0.04583665705344542;0.029944161502116953;0.04577529606676076;0.008345094189114562;0.050500092041480024;0.006749708535313248;0.002208995520647972;0.0;0.0009817757869546543;0.003865742161133951;0.0006749708535313248;0.0012885807203779837;0.0;0.0;0.0;0.0007363318402159906;0.00018408296005399766;0.0
Akersloot;0.26731674512441156;0.3170813718897108;0.19636852723604573;0.0968392737054472;0.06018829858776059;0.02151983860121049;0.005379959650302623;0.0010087424344317419;0.0016812373907195697;0.005379959650302623;0.004707464694014795;0.007397444519166106;0.005379959650302623;0.0026899798251513113;0.0023537323470073975;0.0020174848688634837;0.0010087424344317419;0.0003362474781439139;0.0;0.0006724949562878278;0.0006724949562878278;0.0
Alblasserdam;0.337573288283812;0.18374242273675842;0.14538408029414687;0.050382589684984595;0.036867733280333895;0.025737851535327438;0.06349995031302792;0.11895061114975654;0.014309847957865447;0.005564940872503229;0.0026830964920997714;0.004670575375136639;0.003378714101162675;0.0018881049388850245;0.0007949915532147471;0.0011924873298221207;0.00019874788830368678;0.0019874788830368676;0.0004968697207592169;0.0006956176090629037;0.0;0.0
Albrandswaard;0.2446035242290749;0.3553964757709251;0.1696035242290749;0.09019823788546255;0.046255506607929514;0.02169603524229075;0.013986784140969164;0.016519823788546256;0.013876651982378854;0.0052863436123348016;0.00407488986784141;0.007488986784140969;0.002422907488986784;0.002312775330396476;0.000881057268722467;0.001982378854625551;0.0015418502202643172;0.0004405286343612335;0.0005506607929515419;0.00022026431718061675;0.0004405286343612335;0.00022026431718061675
Alkemade;0.21845641574503508;0.32584136044713996;0.2662623379712213;0.06790343679391128;0.06314662861220122;0.02033535497681056;0.0029730051135687953;0.0009513616363420145;0.0017838030681412772;0.007016292068022357;0.004043286954453561;0.006421691045308598;0.0049946485907955765;0.005708169818052087;0.001902723272684029;0.0009513616363420145;0.0010702818408847663;0.00023784040908550363;0.0;0.0;0.0;0.0
