RegioNaam;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid;GL;SP;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Aa en Hunze;0.16080464025669505;0.11680858941132914;0.24349006540787363;0.27218314204615573;0.0702209058373442;0.046711094656300134;0.057879797605825005;0.009687769961742565;0.0016043440700974948;0.015179563124768604;0.003825743551770949;0.0008021720350487474;0.00030852770578797977;0.00037023324694557573;0.0001234110823151919;0.0
Aalburg;0.33966047319877024;0.14262799091030612;0.0876888116561957;0.05560753909905093;0.01844673172035824;0.028739473332442186;0.01550594840261997;0.08755513968720759;0.21039967918727442;0.010827429488036359;0.0009357037829167224;0.0005346878759524128;0.0;0.0012030477208929287;0.0002673439379762064;0.0
Aalsmeer;0.31215995647442873;0.18865614798694233;0.21123503808487487;0.10106093579978237;0.04032916213275299;0.03652067464635474;0.05202665941240479;0.024551142546245918;0.0042165397170837865;0.02060663764961915;0.006664853101196953;0.0;0.000544069640914037;0.0011561479869423286;0.0002720348204570185;0.0
Aalten;0.5085881140501546;0.09610099622122982;0.0934386808656819;0.12169357609069048;0.05212985228443834;0.04027825489522501;0.034352456200618345;0.03418069391961525;0.002576434215046376;0.011679835108210237;0.0033493644795602887;0.0005152868430092751;0.00025764342150463756;0.0007729302645139127;8.588114050154586e-05;0.0
Abcoude;0.2802867383512545;0.15143369175627241;0.23620071684587812;0.11200716845878136;0.05985663082437276;0.047311827956989246;0.07347670250896057;0.014336917562724014;0.007526881720430108;0.014157706093189963;0.0025089605734767025;0.00017921146953405018;0.00017921146953405018;0.0005376344086021505;0.0;0.0
Achtkarspelen;0.4199824715162139;0.12620508326029797;0.06952965235173825;0.17674554484370436;0.03651767455448437;0.041133508618171194;0.021034180543382998;0.07963774466841951;0.012445223488168273;0.013146362839614373;0.0017528483786152498;0.0;0.00040899795501022495;0.001343850423605025;0.00011685655857434999;0.0
Alblasserdam;0.2545764536970567;0.17309763101220388;0.10364321608040201;0.1662778176597272;0.029343144292893038;0.044687724335965545;0.027727925340990667;0.06380114860014358;0.11880832735104092;0.01301148600143575;0.003230437903804738;0.0013460157932519742;0.0003589375448671931;8.973438621679828e-05;0.0;0.0
Albrandswaard;0.25865650969529086;0.2759695290858726;0.18975069252077562;0.10630193905817174;0.031076869806094184;0.038434903047091414;0.043109418282548474;0.017486149584487534;0.012378808864265928;0.02146814404432133;0.0037222991689750693;0.0006059556786703601;0.0004328254847645429;0.00034626038781163435;0.0002596952908587258;0.0
Alkemade;0.4045892412598766;0.16863296893603205;0.17718367788721723;0.09232600930836671;0.04816538586427103;0.03799112458058231;0.04361943933326118;0.0027059205541725296;0.0015153155103366164;0.01915791752354151;0.0019482627990042212;0.00021647364433380236;0.00021647364433380236;0.001190605043835913;0.0005411841108345059;0.0
Alkmaar;0.20271531297458512;0.15656963021243114;0.15157447898560006;0.18372275995828224;0.10495306753517648;0.08874169761952683;0.06572374801017328;0.012368945895010338;0.0010429436627449546;0.023969406985892814;0.005562366201306424;0.0013539970358443269;0.0012076189779152105;0.0;0.0004940259455107679;0.0
Almelo;0.30761316872427985;0.15258958145137008;0.12584061025795443;0.20059219110709625;0.06416240088326809;0.05314664257753689;0.04145337749673793;0.026347485697079193;0.00331225534477567;0.015331727391347987;0.00501856870420556;0.0026347485697079194;0.00125464217605139;0.000627321088025695;7.527853056308341e-05;0.0
Almere;0.16156095232412435;0.2308013604630348;0.19427173459036937;0.1578853153529447;0.08150844322453607;0.05559997613222746;0.060636076138194404;0.018819738647890685;0.001169520854466257;0.02833104600513157;0.006861984605286712;0.0014081985798675338;0.0006921654036637031;0.0;0.0004534876782624262;0.0
Alphen aan den Rijn;0.27174222982606216;0.16664290466685677;0.19532363843741088;0.11671894306624846;0.06781674745746602;0.05253778157969775;0.06147229350822165;0.03390837372873301;0.012166143902670849;0.016372017869023855;0.002708867978329056;0.000879193992966448;0.000760383993916928;0.000736621994107024;0.000213857998289136;0.0
Alphen-Chaam;0.4346978557504873;0.16471734892787523;0.17365172189733594;0.07975958414554905;0.04223521767381416;0.04369720597790773;0.041423001949317736;0.002111760883690708;0.0003248862897985705;0.011533463287849252;0.0037361923326835605;0.0003248862897985705;0.0004873294346978557;0.0009746588693957114;0.0003248862897985705;0.0
Ambt Montfort;0.4292364990689013;0.19909993792675357;0.1111111111111111;0.10769708255741775;0.05291744258224705;0.03895096213531968;0.03476101800124146;0.0029484792054624456;0.00031036623215394165;0.01722532588454376;0.0032588454376163874;0.0015518311607697084;0.00015518311607697082;0.00015518311607697082;0.0006207324643078833;0.0
Ameland;0.3634274458305975;0.14543663821405123;0.16382140512147078;0.16480630334865398;0.05088640840446487;0.03381483913328956;0.038739330269205514;0.013788575180564675;0.0013131976362442547;0.017399868680236377;0.004596191726854892;0.0;0.0;0.0016414970453053185;0.00032829940906106366;0.0
Amerongen;0.2973148549155479;0.16717193590298832;0.16630576006929407;0.1043741879601559;0.03832828064097012;0.0346470333477696;0.04244261585101776;0.04374187960155912;0.0898657427457774;0.01126028583802512;0.0032481593763534;0.00021654395842355997;0.00043308791684711995;0.00064963187527068;0.0;0.0
Amersfoort;0.23734752483072952;0.13056880153858313;0.17947941091234818;0.148720921042232;0.09315804726400928;0.07051400268725136;0.059857206839318174;0.050873356693100086;0.009181442158231683;0.015175066522644045;0.002687251363384883;0.0012382432752851911;0.000592776036040783;0.0006059488368416893;0.0;0.0
Amstelveen;0.2212494281079732;0.1596098656573639;0.23318637441251092;0.14347211246516658;0.0751570103564447;0.05525516782431477;0.07669591981033981;0.010834754398369588;0.0019756270016220937;0.015389094538951046;0.006114045668177848;0.0;0.00035353325292184835;0.0005406979162334151;0.00016636858961028157;0.0
Amsterdam;0.10416322998499128;0.16546101112808795;0.14398366618440445;0.23419284178644348;0.13171707884311154;0.10831158646240382;0.07666346660897548;0.009537974769122598;0.0009519044850386035;0.013661992779588138;0.005981854320753952;0.002539313384804684;0.0014143353570317888;0.0006571386075692633;0.0007626052976729722;0.0
Andijk;0.3304625984251969;0.17888779527559054;0.15526574803149606;0.10752952755905512;0.05019685039370079;0.05142716535433071;0.03764763779527559;0.05265748031496063;0.012057086614173228;0.018700787401574805;0.003937007874015748;0.0004921259842519685;0.0004921259842519685;0.0;0.00024606299212598425;0.0
Angerlo;0.3702074167190446;0.12602137020741672;0.1599622878692646;0.1539912005028284;0.057510999371464484;0.0562539283469516;0.0502828409805154;0.003771213073538655;0.0015713387806411063;0.015399120050282841;0.0021998742928975488;0.001257071024512885;0.00031426775612822125;0.0009428032683846638;0.00031426775612822125;0.0
Anna Paulowna;0.302735994314817;0.1738718465000592;0.22728887836077225;0.11050574440364799;0.04370484424967429;0.03991472225512259;0.04631055312092858;0.011015042046665877;0.002487267558924553;0.030320975956413598;0.009001539737060287;0.0011844131232974062;0.0008290891863081842;0.0;0.0008290891863081842;0.0
Apeldoorn;0.2875929890002755;0.1390543204120128;0.16886378568552232;0.15549032490515652;0.07109552169213489;0.047495920140728655;0.0535998134921476;0.028463641565818196;0.026047517114214866;0.015641226713011044;0.003009558527435729;0.001737914079223449;0.001112688892185745;0.0005934340758323972;0.00020134370430027764;0.0
Appingedam;0.24521547569874708;0.14043783560512185;0.1090458488228005;0.2855569323970811;0.054660608563954285;0.052595346275643676;0.04846482169902244;0.03607324796915875;0.0020652622883106154;0.01872504474734958;0.004543577034283354;0.0016522098306484924;0.00013768415255404102;0.0006884207627702051;0.00013768415255404102;0.0
Arcen en Velden;0.510724106324473;0.1395050412465628;0.1250229147571036;0.0846929422548121;0.04912923923006416;0.03538038496791934;0.034097158570119156;0.002749770852428964;0.0009165902841429881;0.012832263978001834;0.00384967919340055;0.0007332722273143905;0.00018331805682859762;0.00018331805682859762;0.0;0.0
