RegioNaam;CDA;Partij van de Arbeid;VVD;SP;Lijst Pim Fortuyn;GL;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Aa en Hunze;0.14841747630684865;0.4144364308279192;0.24485903320021457;0.04696906479108303;0.03826667461405495;0.04613458902068308;0.042200631817369015;0.008463968528342374;0.0005960541217142517;0.004053168027656911;0.003159086845085534;0.0010132920069142277;0.0009536865947428027;5.960541217142517e-05;0.00011921082434285033;0.00029802706085712584;0.0;0.0;0.0
Aalburg;0.4112371405961488;0.11303086256924294;0.10577683988393563;0.030730677921392772;0.04642574518596676;0.011738327618042733;0.010023740437879188;0.06726457399103139;0.1933526773938275;0.0042205222896333425;0.0030335003956739647;0.0021102611448166712;0.0006594566077552098;0.0;0.00013189132155104195;0.00013189132155104195;0.0;0.00013189132155104195;0.0
Aalsmeer;0.3505492256259808;0.17384185031043187;0.2684041754792932;0.03656955720815992;0.058743262604898684;0.034863887562256946;0.04352868936344409;0.01835300538991608;0.003616019649314321;0.004161833936003275;0.004366514293511633;0.001296308930886266;0.0008869482158695504;6.822678583611926e-05;0.00027290714334447704;0.0004775875008528348;0.0;0.0;0.0
Aalten;0.4988233316523786;0.21390149604975625;0.1049756261556564;0.05042864346949067;0.03067742477727349;0.03765338712388637;0.024457892082702975;0.027819801647335687;0.002017145738779627;0.0035300050428643467;0.0021011934778954445;0.001176668347621449;0.0009245251302739956;0.0009245251302739956;0.00016809547823163558;0.00033619095646327115;0.0;8.404773911581779e-05;0.0
Abcoude;0.2900425230333097;0.19064493267186391;0.27888022678951097;0.040396881644223954;0.04323175053153792;0.0501417434443657;0.07742735648476258;0.01364280652019844;0.008327427356484762;0.002834868887313962;0.0019489723600283487;0.0005315379163713678;0.0007087172218284905;0.00017717930545712261;0.00035435861091424523;0.0005315379163713678;0.00017717930545712261;0.0;0.0
Achtkarspelen;0.4152751316821697;0.31015353580634314;0.0718928611453547;0.04202622436400314;0.035862378123949344;0.025103664686764542;0.012607867309200941;0.0692031827860585;0.008069035077888602;0.0028017482909335426;0.004762972094587022;0.0014569091112854422;0.0006163846240053794;0.0;0.00016810489745601256;0.0;0.0;0.0;0.0
Alblasserdam;0.2644385026737968;0.2825311942959002;0.13128342245989305;0.042959001782531196;0.0589126559714795;0.021301247771836007;0.02014260249554367;0.05418894830659537;0.11283422459893049;0.004010695187165776;0.002762923351158645;0.001336898395721925;0.0010695187165775401;0.00071301247771836;0.0008021390374331551;0.00017825311942959;0.00017825311942959;0.00017825311942959;0.00017825311942959
Albrandswaard;0.26875158911772185;0.20323756250529706;0.2646834477498093;0.039833884227476905;0.11526400542418849;0.026188660055936945;0.041613696075938636;0.01534028307483685;0.010170353419781338;0.0062717179421984915;0.005085176709890669;0.0010170353419781336;0.0012712941774726673;0.00016950589032968896;0.0005085176709890668;0.0005085176709890668;0.0;0.0;8.475294516484448e-05
Alkemade;0.4277711946568997;0.16233976085317248;0.21340084024561026;0.04050414736615318;0.06194118280728213;0.039211461811914254;0.036733814499622965;0.0029085424970375956;0.0015081331466120867;0.0035548852741570615;0.005170742216955726;0.002477647312291285;0.0015081331466120867;0.00021544759237315523;0.00010772379618657762;0.00021544759237315523;0.00021544759237315523;0.00021544759237315523;0.0
Alkmaar;0.19978009895547003;0.32701117830309695;0.17388675096206707;0.08607293384643577;0.05455378413047462;0.0793842770753161;0.05046728971962617;0.010481949789261499;0.0007879787428990288;0.006120579072750596;0.005259299981674913;0.0015393073117097307;0.0011911306578706248;0.002510536925050394;0.0006963533076782115;0.0;0.0;0.00025655121861828845;0.0
Almelo;0.2946832717574809;0.35034621125003057;0.14545765946514644;0.059895769616598565;0.04467715495094321;0.04002838198233466;0.03136698392503242;0.023048127033838173;0.0027403293288639865;0.0;0.004061559540994838;0.0019329108658951335;0.0008318856891194245;0.0;0.0005382789753125688;0.00039147561840914097;0.0;0.0;0.0
Almere;0.15775100213319582;0.3063011322346984;0.24783750205114982;0.06251904639114841;0.08508169436695656;0.05630699266274409;0.051677254506669164;0.014709674394617784;0.001054877048219602;0.006340983145408941;0.006071403455308376;0.001429944443142127;0.001465107011416114;0.0006329262289317612;0.0006446470850230901;0.0;0.0;0.00017581284136993365;0.0
Alphen aan den Rijn;0.2791411042944785;0.22645115620575743;0.22885795186408683;0.05634733364794715;0.05719679093912223;0.05172251061821614;0.04827748938178386;0.027772534214252007;0.01123171307220387;0.0052855120339782916;0.003964134025483719;0.001604530438886267;0.0008730533270410571;0.0002831524303916942;0.00037753657385559226;0.0003303445021236432;0.00018876828692779613;9.438414346389807e-05;0.0
Alphen-Chaam;0.4730195177956372;0.15384615384615385;0.20321469575200918;0.04887649663769067;0.05281285878300804;0.030834836804986058;0.02657044448089224;0.0013121207151057896;0.0001640150893882237;0.0036083319665409217;0.0019681810726586845;0.002296211251435132;0.0008200754469411186;0.0;0.0;0.0003280301787764474;0.0;0.0003280301787764474;0.0
