RegioNaam;CDA;Partij van de Arbeid;SP;VVD;PVV;GL;ChristenUnie;Democraten 66;Partij voor de Dieren;Staatkundig Gereformeerde Partij;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamaras Open Partij
Aa en Hunze;0.15227232641542712;0.3377623611029455;0.15315421247574815;0.21265212534540537;0.034922687988711856;0.048327356105591156;0.021870774295960963;0.015638779469692516;0.01499206302545711;0.0011758480804280086;0.003939091069433829;0.001998941736727615;0.0;0.0;0.0008230936562996061;0.0;0.00011758480804280087;0.0;0.00011758480804280087;0.00023516961608560175;0.0;0.0;0.0;0.0
Aalburg;0.35881131585777315;0.08266286010900598;0.07552556449519855;0.09070853880093434;0.053335063586815466;0.007656371658447962;0.11510511289903971;0.003763301323643914;0.012198287049052686;0.19322605761744097;0.004282377368284454;0.0014274591227614846;0.0006488450558006748;0.0002595380223202699;0.0;0.00012976901116013495;0.00012976901116013495;0.0;0.0;0.0;0.00012976901116013495;0.0;0.0;0.0
Aalsmeer;0.3479241877256318;0.14375966993295514;0.09154203197524498;0.23349664775657555;0.06046931407942238;0.030943785456420837;0.04274110366168128;0.015536358947911295;0.018243940175348118;0.003674574522949974;0.00573749355337803;0.0020629190304280558;0.0023852501289324396;0.0005157297576070139;0.0004512635379061372;0.0;6.446621970087674e-05;0.0003223310985043837;0.0;6.446621970087674e-05;0.0;0.0;0.0;6.446621970087674e-05
Aalten;0.41086004968650186;0.17147758192357743;0.17958121377025907;0.09606057021175914;0.0320596238022004;0.024902401514255296;0.056547971134508455;0.00910919200283923;0.011475215899680587;0.0017153673252099846;0.0030758310658937655;0.0007689577664734414;0.0008872589613155093;0.0001183011948420679;0.0004732047793682716;0.00017745179226310185;0.0002366023896841358;0.00017745179226310185;0.0002366023896841358;5.915059742103395e-05;0.0;0.0;0.0;0.0
Abcoude;0.3093852309930884;0.14696253182975627;0.08894143324845398;0.25518370316478717;0.034558021098581304;0.06802473626773373;0.03019279738086577;0.035103674063295745;0.018552200800291015;0.005820298290287377;0.004183339396144053;0.0009094216078574026;0.0009094216078574026;0.00018188432157148054;0.0009094216078574026;0.0;0.0;0.0;0.0;0.0;0.00018188432157148054;0.0;0.0;0.0
Achtkarspelen;0.3472955332311709;0.25665474771553437;0.15046256881775355;0.06090016459503945;0.030421703842442818;0.01884329417106533;0.11084624553039332;0.002951359327998184;0.009194619444917418;0.0076054259606107046;0.002497304046767694;0.000737839831999546;0.00034054146092286734;0.0002270276406152449;0.0003972983710766786;0.0;0.00011351382030762246;0.00028378455076905615;0.0;0.0002270276406152449;0.0;0.0;0.0;0.0
Alblasserdam;0.23078945062647857;0.20485411372995707;0.13397003417155876;0.09410321563129764;0.0586173661613949;0.01761149566284062;0.09646893892929116;0.015946727416104443;0.011565758345746078;0.12170332077455533;0.008849557522123894;0.0031542977306580214;0.0008761938140716726;0.0004380969070358363;0.0007885744326645054;0.00017523876281433454;8.761938140716727e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Albrandswaard;0.2701098248738498;0.1543484713564856;0.12125259720985455;0.21645888987830217;0.09735826654793707;0.026194716533095873;0.03732561590976551;0.016770555060848916;0.019887206886316414;0.011130899376669634;0.023226476699317305;0.003561887800534283;0.0006678539626001781;0.0006678539626001781;0.00029682398337785694;0.0002226179875333927;0.00037102997922232116;0.0;7.420599584446424e-05;7.420599584446424e-05;0.0;0.0;0.0;0.0
Alkemade;0.42852618243243246;0.12890625;0.11148648648648649;0.19795185810810811;0.05109797297297297;0.032411317567567564;0.011402027027027027;0.01171875;0.013619087837837838;0.0010557432432432433;0.006440033783783784;0.00390625;0.0;0.0004222972972972973;0.0;0.0004222972972972973;0.000316722972972973;0.0;0.00021114864864864866;0.0;0.00010557432432432433;0.0;0.0;0.0
Alkmaar;0.1935880977085275;0.23623445825932504;0.21959798111249845;0.13961627068568314;0.05662733236023425;0.06950037810175334;0.02374127288394914;0.023670928371700404;0.0221936936144769;0.0010375815556688884;0.006401350614635176;0.0021630937516486995;0.0015299931414100556;0.0007210312505495665;0.0005803422260520901;0.0;0.0003693086893058755;0.0016355099097831631;0.00038689481736806005;0.0003341364331815064;7.03445122487382e-05;0.0;0.0;0.0
Almelo;0.26195966831853196;0.26230312545998724;0.17690496050242874;0.11505814238751778;0.05625337323978215;0.03221137333791276;0.044183307982925274;0.02831068151709926;0.0117266081154016;0.002183406113537118;0.003581767332319317;0.0014719591776654727;0.0016927530543152935;0.0004170551003385506;0.0004906530592218242;0.0;0.00012266326480545606;0.0007850448947549187;0.0002698591825720033;0.0;7.359795888327364e-05;0.0;0.0;0.0
Almere;0.1729875265560253;0.25493784312488166;0.1734397677793904;0.18269493700174586;0.08492669485286385;0.04438274331629541;0.027870680044593088;0.017363959529669126;0.02461033634126333;0.0010517237752676637;0.00694137691676658;0.003049998948276225;0.0027765507667066322;0.000809827306956101;0.000578448076397215;0.0;0.00032603437033297577;0.0007151721671820113;0.00021034475505353275;0.00027344818156959256;5.258618876338319e-05;0.0;0.0;0.0
Alphen aan den Rijn;0.2827800731348245;0.1805812793845277;0.1467208054328727;0.1818635133209859;0.053450159091988414;0.043002327017143946;0.05311772807142518;0.019684665431922876;0.017595099016953983;0.010424087001947096;0.006197464026214561;0.001970841050482025;0.0;0.0006411169682290924;0.0007360972598185877;0.0004749014579474759;0.00014247043738424277;0.0;0.0003086859476658593;0.00026119580187111176;4.749014579474759e-05;0.0;0.0;0.0
Alphen-Chaam;0.4683903252710592;0.11809841534612177;0.12710592160133444;0.16930775646371976;0.05371142618849041;0.022351959966638867;0.007839866555462885;0.010508757297748124;0.012176814011676397;0.0;0.0030025020850708924;0.0021684737281067556;0.002001668056713928;0.001000834028356964;0.0;0.00016680567139282736;0.0013344453711426189;0.0;0.0003336113427856547;0.000500417014178482;0.0;0.0;0.0;0.0
Ambt Montfort;0.3404886315492162;0.1684790283858212;0.17186838017229206;0.09927976274537495;0.1498375935602316;0.0273972602739726;0.008897048439485949;0.0052252506708092075;0.016240643976839428;0.0008473379466177093;0.0036717977686767404;0.001977121875441322;0.0021183448665442733;0.001977121875441322;0.0015534529021324671;0.0;0.0;0.0;0.0;0.00014122299110295156;0.0;0.0;0.0;0.0
Ameland;0.4051512673753066;0.2007358953393295;0.10425183973834833;0.1713000817661488;0.03515944399018806;0.03679476696647588;0.018806214227309895;0.009811937857726901;0.012264922322158627;0.001635322976287817;0.0012264922322158627;0.0012264922322158627;0.0012264922322158627;0.0;0.0;0.0;0.0;0.0004088307440719542;0.0;0.0;0.0;0.0;0.0;0.0
Amersfoort;0.2382341810013307;0.207383623689126;0.15312961629085226;0.15540037357619857;0.04534189547191464;0.06685304782019509;0.07032022561072383;0.02623579250650096;0.019008435985398787;0.007532565833648717;0.004761265275726093;0.00164813028775134;0.0010865451526656982;0.0007447107226135684;0.0002807925675428209;0.0013429209752047954;0.0001587088425242031;0.0;0.00030520931254654444;0.00018312558752792664;4.8833490007447105e-05;0.0;0.0;0.0
Amstelveen;0.2336858069680246;0.20223701394447488;0.11667439019252644;0.23760374099507098;0.04469815056662594;0.063803344988836;0.025614020305851623;0.03157517799216413;0.02936344104141214;0.0015798121076799933;0.005792644394826642;0.0014112988161941273;0.002948982601002654;0.000863630618865063;0.0004844757130218646;0.0;0.00021064161435733244;0.0004002190672789316;0.0004212832287146649;0.0005055398744575979;2.1064161435733244e-05;0.0;0.0;0.00010532080717866622
Amsterdam;0.09588515669748793;0.3012693314786024;0.18474603142132395;0.13944491040013093;0.04463628180999918;0.1249309590049914;0.015368014074134686;0.04476669257834874;0.03464067997708862;0.0008284919401031013;0.005993781196301448;0.0016876687668766876;0.0017004541363227232;0.0005625562556255626;0.0006264831028557401;0.0;0.00023525079780705344;0.0006546109156370183;0.0004705015956141069;0.0005957982161852548;0.00014575321168480484;0.00047305866950331395;0.00033753375337533753;0.0
Andijk;0.3314051578693661;0.14389009399855388;0.13906965533863583;0.16413593637020968;0.05278380332610268;0.03181489515545915;0.07519884309472162;0.008676789587852495;0.026030368763557483;0.01108700891781152;0.008435767654856591;0.0036153289949385392;0.002410219329959026;0.0007230657989877079;0.00024102193299590263;0.0;0.0;0.00024102193299590263;0.0;0.00024102193299590263;0.0;0.0;0.0;0.0
Anna Paulowna;0.31482132396016405;0.16543643819566492;0.14915055653192735;0.21616871704745166;0.05741066198008202;0.02823667252489748;0.022847100175746926;0.011716461628588167;0.017106033977738723;0.00210896309314587;0.005975395430579965;0.0032806092560046865;0.0022261277094317517;0.0005858230814294083;0.0005858230814294083;0.0;0.0011716461628588166;0.00046865846514352667;0.00023432923257176333;0.00011716461628588167;0.000351493848857645;0.0;0.0;0.0
Apeldoorn;0.2518005540166205;0.21953421565609932;0.15963886323997128;0.15074381861085462;0.04740945932081666;0.04126397866010054;0.052662357648507234;0.02169898430286242;0.0213911972914743;0.02425361649738381;0.004237201190109777;0.0018467220683287165;0.001138811942136042;0.0004103826818508259;0.00044116138298963786;0.0004309018159433672;0.00037960398071201394;0.0003590848466194727;0.000174412639786601;0.00018467220683287164;0.0;0.0;0.0;0.0
Appingedam;0.17995059160057209;0.36913275256793654;0.21063580808737487;0.08984527369652841;0.03315563645819789;0.030555194383045117;0.052138863606813156;0.013782342998309712;0.011571967234429853;0.0016902873488493044;0.0022103757638798596;0.0024704199713951372;0.0009101547263034716;0.0007801326225458328;0.0005200884150305552;0.0;0.0003900663112729164;0.0;0.0002600442075152776;0.0;0.0;0.0;0.0;0.0
Arcen en Velden;0.4270718232044199;0.13646408839779006;0.14972375690607734;0.1136279926335175;0.11786372007366483;0.023204419889502764;0.007366482504604052;0.0071823204419889505;0.009760589318600368;0.0;0.0023941068139963165;0.0014732965009208103;0.0020257826887661143;0.00036832412523020257;0.0005524861878453039;0.0;0.0005524861878453039;0.0;0.0;0.00036832412523020257;0.0;0.0;0.0;0.0
Arnhem;0.17441802811314674;0.25641470610109823;0.224496120187421;0.1256166794754196;0.046508168678880434;0.07587326771946352;0.02811314673872623;0.031980563750402854;0.023353248878201154;0.0012023700324763865;0.004177306195304559;0.0013263257059275603;0.0011156010610605647;0.0002603069142474651;0.0004586359917693433;0.003470758856632868;0.0001735379428316434;0.0004338448570791085;0.0002850980489376999;0.000322284750973052;0.0;0.0;0.0;0.0
Assen;0.1709830060038669;0.30848682202096267;0.18482242800447746;0.12183270581052204;0.032894067365421796;0.047852854380787624;0.09272921542688511;0.01541670906685662;0.015085987585224381;0.003587056070011194;0.003561615956039483;0.002009769003765137;0.0;0.0;0.0003307214816322377;0.0;0.00020352091177368474;0.0;0.00015264068383026355;5.0880227943421185e-05;0.0;0.0;0.0;0.0
Asten;0.458264342066816;0.12924905035550793;0.1691828187396513;0.12671666504334275;0.057465666699133146;0.02094087854290445;0.00837635141716178;0.010129541248660758;0.009350345767994546;0.0006817960455829356;0.005551767799746762;0.00224018700691536;0.0012661926560825947;0.0;0.00038959774033310606;0.0;9.739943508327652e-05;0.0;9.739943508327652e-05;0.0;0.0;0.0;0.0;0.0
Baarle-Nassau;0.4527363184079602;0.13208955223880597;0.15074626865671642;0.13308457711442787;0.0626865671641791;0.025124378109452738;0.008706467661691543;0.008955223880597015;0.017412935323383085;0.0;0.005472636815920398;0.001990049751243781;0.0004975124378109452;0.0;0.0;0.0;0.0004975124378109452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Baarn;0.2744020685197156;0.16929541047188107;0.12411118293471235;0.20982546864899806;0.049644473173884936;0.054815772462831286;0.04744667097608274;0.027149321266968326;0.027149321266968326;0.0066580478345184225;0.004524886877828055;0.002197802197802198;0.0014221073044602456;0.00038784744667097606;0.00038784744667097606;6.464124111182935e-05;6.464124111182935e-05;0.0;0.0002585649644473174;0.00019392372333548803;0.0;0.0;0.0;0.0
Barendrecht;0.27859954898138595;0.15227611512441233;0.11822038757023277;0.18862515766540533;0.08366777510224363;0.02897221266674311;0.04896227496846692;0.015479876160990712;0.018193632228719947;0.0404770095172572;0.020945610212896076;0.0028666437335167984;0.0007262164124909223;0.0005351068302564691;0.0006879944960440316;0.0004968849138095784;7.644383289378129e-05;0.0;0.00019110958223445324;0.0;0.0;0.0;0.0;0.0
Barneveld;0.3932637721607307;0.07215121626335987;0.06013129935618915;0.10554692207668644;0.03837493260600679;0.011639339063144207;0.12108718404110241;0.007643271700865814;0.007643271700865814;0.1759221084012559;0.003266626494560908;0.0011734483524150836;0.0003805778440265136;0.0002854333830198852;0.0005708667660397704;0.0001902889220132568;0.0001902889220132568;0.000158574101677714;0.00025371856268434237;0.00012685928134217119;0.0;0.0;0.0;0.0
Bedum;0.31566719907071294;0.22651372150428342;0.1354726295919849;0.07811819369827211;0.02323217656454189;0.04443153767968636;0.14157107594017715;0.011035283868157398;0.010309278350515464;0.007986060694061275;0.002468418759982576;0.0010164077246987077;0.000726005517641934;0.000726005517641934;0.0005808044141135473;0.0;0.0001452011035283868;0.0;0.0;0.0;0.0;0.0;0.0;0.0
