RegioNaam;VVD;Partij van de Arbeid;PVV;CDA;SP;Democraten 66;GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit;Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Aa en Hunze;0.25399110999812186;0.29700118950729354;0.10066988042321418;0.07882050960996682;0.09334501972077881;0.06510987291053653;0.07255994490703062;0.01590183434545796;0.001189507293557879;0.012583735052901772;0.004006761409879171;0.002879859763350654;0.0008764790584110687;0.00031302823514681025;0.00031302823514681025;0.00043823952920553436;0.0;0.0
Aalburg;0.14853556485355648;0.06419979079497908;0.1600418410041841;0.20305962343096234;0.05530857740585774;0.021182008368200837;0.0198744769874477;0.10721757322175732;0.20593619246861924;0.007845188284518828;0.004314853556485356;0.001307531380753138;0.0002615062761506276;0.0005230125523012552;0.0;0.0003922594142259414;0.0;0.0
Aalsmeer;0.345294050212083;0.12438381290840307;0.1432420038977416;0.1569414192365012;0.05542817837899805;0.06700676372807521;0.04625702166685773;0.0351369941533876;0.004642898085521037;0.012151782643585922;0.006018571592342085;0.0016049524246245558;0.0006878367534105239;0.0008024762123122779;5.731972945087699e-05;0.00034391837670526195;0.0;0.0
Aalten;0.1539034842556363;0.16769144773616546;0.1160176386559841;0.2688652878703186;0.13620272032792993;0.04372399229861499;0.045028259114340725;0.04682938947891435;0.003291721011117322;0.009254083597292094;0.004595987826843053;0.002422209800633501;6.21079436059872e-05;0.000931619154089808;0.0001242158872119744;0.0005589714924538849;0.0001863238308179616;0.00031053971802993605
Abcoude;0.32983038348082594;0.17275073746312683;0.0918141592920354;0.13237463126843657;0.044432153392330385;0.10693215339233038;0.07743362831858407;0.019358407079646017;0.006452802359882006;0.01032448377581121;0.003687315634218289;0.002028023598820059;0.0012905604719764012;0.0007374631268436578;0.00018436578171091445;0.0;0.0003687315634218289;0.0
Achtkarspelen;0.0993886683052877;0.20526879687401525;0.1443246990609441;0.26375496313102664;0.09825423835633705;0.023129766181382745;0.03220520577298796;0.10714060628978382;0.011344299489506523;0.00831915295897145;0.003088170416587887;0.0017646688094787924;0.0004411672023696981;0.0005041910884225121;6.302388605281402e-05;0.00018907165815844205;0.0;0.0008193105186865823
Alblasserdam;0.1587141679640993;0.17666452971883873;0.14259547577617;0.1264767835882407;0.07573953658759959;0.03626705742284092;0.034069053942668744;0.09533840095246818;0.13838263577250665;0.009341514790731751;0.003938089568641817;0.0013737521751076105;0.00045791739170253685;0.00045791739170253685;0.00018316695668101475;0.0;0.0;0.0
Albrandswaard;0.2952401070271793;0.12941839177580622;0.20483030559076187;0.11702577101816646;0.08491761723700887;0.06189269117025771;0.04393747359526827;0.02577101816645543;0.012322208139698634;0.014716237149697225;0.006196310378819884;0.0018307280664695113;0.0004928883255879454;0.0008449514152936206;0.00021123785382340515;0.00021123785382340515;0.0001408252358822701;0.0
Alkmaar;0.18891612807369437;0.2488670975410445;0.12987519500780031;0.08552484956541119;0.11607607161429315;0.082664735160835;0.09882252432954461;0.014523438080380358;0.0010400416016640667;0.018776465344328058;0.007466012926231335;0.004253027263947701;0.0012814798306217963;0.0009286085729143451;0.00024143822895772974;0.00031572691479087733;0.00026001040041601667;0.00016714954312458213
Almelo;0.16966663976107837;0.22544192428767454;0.18836602362310653;0.14639330588963329;0.1071918637501009;0.057255091882584014;0.04732692980332015;0.03414319154088304;0.0026098420641967337;0.00904027766567116;0.007022358543869562;0.0031479538300104933;0.0014259961794064627;0.00037667823606963164;0.00024215029461619177;0.0002152447063255038;0.00013452794145343987;0.0
