RegioNaam;VVD;Partij van de Arbeid;PVV;SP;CDA;Democraten 66;ChristenUnie;GROENLINKS;Staatkundig Gereformeerde Partij;Partij voor de Dieren;50PLUS;Piratenpartij;Partij voor Mens en Spirit;SOPN;Partij van de Toekomst;Democratisch Politiek Keerpunt DPK;Libertarische Partij;Nederland Lokaal;Liberaal Democratische Partij;Anti Europa Partij;Politieke Partij NXD
Aa en Hunze;0.28913229714845184;0.3710072206584261;0.06058010035491372;0.07954962672867458;0.052013217476441075;0.07159466405580713;0.014196548770040387;0.021050055072818503;0.00281483294578387;0.017745685962550484;0.012666748256027415;0.0017745685962550484;0.0024476808224207563;0.0012238404112103782;0.00042834414392363233;0.0011626483906498593;0.00024476808224207564;0.00018357606168155672;0.00012238404112103782;6.119202056051891e-05;0.0
Aalburg;0.23360924977006964;0.08697937196163448;0.10957824201813166;0.05373801077387991;0.11246879516489292;0.02404414662987781;0.11181185126790172;0.0064380501905137305;0.2308500854027066;0.013401655498620418;0.013664433057416896;0.0011824990145841545;0.00026277755879647877;0.0005255551175929575;0.0005255551175929575;0.0005255551175929575;0.00026277755879647877;0.00013138877939823938;0.0;0.0;0.0
Aalsmeer;0.45690632796552505;0.15003402132002722;0.09129054207303243;0.041222499432977996;0.08476978906781583;0.07518711726014969;0.035892492628713996;0.012361079609888864;0.007598094806078476;0.017350873213880697;0.020072578816058062;0.002154683601723747;0.0013608528010886822;0.0010773418008618735;0.0012474484009979588;0.0010206396008165116;0.0002835110002268088;0.0;0.00017010660013608528;0.0;0.0
Aalten;0.21945843828715364;0.23476070528967255;0.07405541561712846;0.12078085642317381;0.19263224181360203;0.05591939546599496;0.044710327455919394;0.016246851385390428;0.005856423173803527;0.01234256926952141;0.016561712846347606;0.0018261964735516373;0.00163727959697733;0.0014483627204030227;0.0005667506297229219;0.0005037783375314861;0.0001889168765743073;0.00031486146095717883;0.0001889168765743073;0.0;0.0
Achtkarspelen;0.14937147255002564;0.29643406875320677;0.09383016931759877;0.08664699846074911;0.17701385325808106;0.027770651616213442;0.11614930733709594;0.008530015392508979;0.017444843509492047;0.010582349923037455;0.009235505387378143;0.002052334530528476;0.001090302719343253;0.001090302719343253;0.0008337609030271934;0.0006413545407901488;0.0008978963571062083;0.00019240636223704464;6.413545407901488e-05;0.00012827090815802975;0.0
Alblasserdam;0.2;0.2182312925170068;0.09705215419501134;0.06421768707482993;0.083718820861678;0.0380952380952381;0.09215419501133787;0.009160997732426304;0.15972789115646258;0.014331065759637189;0.017596371882086168;0.0025396825396825397;0.00036281179138321996;0.00036281179138321996;0.000997732426303855;0.00045351473922902497;0.0005442176870748299;9.070294784580499e-05;9.070294784580499e-05;0.00027210884353741496;0.0
Albrandswaard;0.3724317478187447;0.18406980016887137;0.13587109484942303;0.0648747537292429;0.07374050098508303;0.0648747537292429;0.0242752603433718;0.013368983957219251;0.014424430059104982;0.02216436813960034;0.020405291303124122;0.0026034337179848014;0.0021812552772305094;0.001336898395721925;0.0007739938080495357;0.0008443568815085843;0.00028145229383619476;0.0012665353222628764;7.036307345904869e-05;0.00014072614691809738;0.0
Alkmaar;0.23914770942287436;0.30615563727754885;0.08861086984643246;0.11422393879474434;0.05370243749191507;0.08776079685103395;0.012695655387799605;0.03143422098201911;0.0014599079703583242;0.02766433204590394;0.024208600521131707;0.004028606804279933;0.0034926912202243453;0.001829504924879419;0.0009055125385766821;0.0011087908635632842;0.0006837543658640252;0.0001478387818084379;0.00035111710679504;0.00038807680224714947;0.0
Almelo;0.21767567567567567;0.2903783783783784;0.12586486486486487;0.11245945945945945;0.10105405405405406;0.057594594594594595;0.03221621621621622;0.014297297297297297;0.004891891891891892;0.01454054054054054;0.01854054054054054;0.002864864864864865;0.002081081081081081;0.002;0.0007837837837837838;0.0013513513513513514;0.00045945945945945947;0.0003243243243243243;0.0003243243243243243;0.0002972972972972973;0.0
Almere;0.284494780881545;0.2868824747496091;0.13873980475848371;0.09559227485948527;0.027215484089084224;0.06511220048176478;0.018478214934708193;0.0192811562354731;0.0027363394328698814;0.023855808646410008;0.024373494485061067;0.004912732958627393;0.0021130034230655453;0.0020813083717195623;0.0014579723619152264;0.0012044119511473608;0.0005176858386510586;0.0002535604107678654;0.0003169505134598318;0.00038034061615179816;0.0
