RegioNaam;VVD;PVV;CDA;Democraten 66;GROENLINKS;SP;Partij van de Arbeid;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij;DENK;Forum voor Democratie;VNL;Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij;MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Parti 
Aa en Hunze;0.24792332268370607;0.09764740052279988;0.10107464420563463;0.12564623874528028;0.08910833575370317;0.11251815277374383;0.1063026430438571;0.020040662213186174;0.03171652628521638;0.03555039209991287;0.0033691548068544874;0.00017426662794074935;0.014289863491141447;0.003427243682834737;0.00261399941911124;0.0;0.0014522218995062445;0.004763287830380482;0.0012779552715654952;0.0;0.000522799883822248;0.0002904443799012489;0.0;0.00017426662794074935;0.00011617775196049956;0.0;0.0;0.0
Aalburg;0.1585992589936656;0.14688657822397513;0.16278235926855503;0.03513804230907135;0.01972032986733596;0.05306561491574041;0.01780805545595793;0.11127046731205928;0.017688538305246804;0.018405641209513567;0.23353651248954224;0.0008366200549778894;0.011951715071112704;0.005856340384845225;0.0014342058085335247;0.0;0.0005975857535556352;0.0014342058085335247;0.0002390343014222541;0.0008366200549778894;0.0002390343014222541;0.00011951715071112705;0.0014342058085335247;0.00011951715071112705;0.0;0.0;0.0;0.0
Aalsmeer;0.3478887003034511;0.12091755387543075;0.12302628195237361;0.1080080234531708;0.0573985496065422;0.04706063879031014;0.04258602067582163;0.04104304891220491;0.025973358020881552;0.03368821683896518;0.006634778583551921;0.005914725093864115;0.02448181864938538;0.005657563133261328;0.0030859435272334516;0.001182945018772823;0.0014401069793756108;0.002057295684822301;0.0005657563133261328;0.0005657563133261328;0.0005143239212055753;0.00025716196060278764;0.0;5.1432392120557526e-05;0.0;0.0;0.0;0.0
Aalten;0.19195010683143732;0.09568631980135127;0.24571230582664433;0.09857365594502512;0.06565802390714327;0.12802448461049837;0.04579315123866721;0.04700583241901022;0.017959230813651327;0.029219841773979325;0.006756366576196801;0.006178899347462031;0.010567650285846279;0.002540855806432985;0.0019056418548247388;0.00023098689149390772;0.0010394410117225848;0.0020788820234451696;0.000866200843102154;0.0005197205058612924;0.0005774672287347693;0.00011549344574695386;0.00040422706011433853;0.00023098689149390772;0.00011549344574695386;0.00028873361436738466;0.0;0.0
Achtkarspelen;0.11803682420546499;0.1684062390055119;0.24076462999882725;0.052949454673390406;0.04620616864078809;0.11422540166529846;0.06362143778585669;0.10361205582268089;0.01653571009733787;0.028556350416324615;0.01624252374809429;0.00029318634924357923;0.020405769907353113;0.002580039873343497;0.0017004808256127595;0.0;0.0022868535240999177;0.0012313826668230328;0.001055470857276885;0.0;0.0006450099683358743;0.00017591180954614754;0.0;0.00017591180954614754;0.00029318634924357923;0.0;0.0;0.0
Alblasserdam;0.15445047379930346;0.13995302502632218;0.11881428687130477;0.06455009314003401;0.05005264436705273;0.07410707054345185;0.05539807240625253;0.090062363327124;0.019842876812181096;0.028265975540617154;0.15833805782781243;0.017008180124726654;0.017170162792581194;0.004130558030290759;0.002267757349963554;0.00024297400178180934;0.0012148700089090467;0.0004049566696363489;0.000728922005345428;0.00016198266785453957;0.00032396533570907914;8.099133392726978e-05;0.002267757349963554;8.099133392726978e-05;8.099133392726978e-05;0.0;0.0;0.0
Albrandswaard;0.28527043307336253;0.17221482467820684;0.11166064295225414;0.10443218565721894;0.05459387483355526;0.06454885549426162;0.04704837993786063;0.028089531418426225;0.027265233656711685;0.035698433834252745;0.01293513410690508;0.009891573140574473;0.029991757022382853;0.005453046731342337;0.0029167459260668314;0.0020290406442204046;0.0012047428825058652;0.0013315579227696406;0.000887705281846427;0.0006340752013188764;0.0004438526409232135;0.0004438526409232135;0.0005072601610551012;0.0002536300805275506;0.0002536300805275506;0.0;0.0;0.0
Alkmaar;0.22209096278795037;0.10685174246898996;0.08650324867099823;0.139619019492026;0.1282634376845836;0.0859568812758417;0.07284406379208505;0.015903721204961606;0.04787359716479622;0.033151210868281156;0.0020525694034258714;0.018916125221500296;0.019846426461901948;0.005596574128765505;0.004858239810986415;0.0020378027170702894;0.001831069108092144;0.001609568812758417;0.0013437684583579444;0.0007383343177790904;0.0007826343768458358;0.0008269344359125812;0.0;0.00032486709982279977;0.0;0.0;0.0;0.0001772002362669817
Almelo;0.1783032319391635;0.17870722433460076;0.1548954372623574;0.09622148288973384;0.06497148288973384;0.1091967680608365;0.05677281368821293;0.032747148288973384;0.02105513307984791;0.030061787072243346;0.005133079847908745;0.04408269961977186;0.01634980988593156;0.003493346007604563;0.0030893536121673003;0.00042775665399239545;0.0011644486692015208;0.0011644486692015208;0.000594106463878327;0.0007366920152091255;0.00026140684410646387;0.00040399239543726235;0.0;0.00016634980988593156;0.0;0.0;0.0;0.0
Almere;0.2077257750350427;0.15595361622339943;0.06508838039065772;0.12115668177598166;0.09912074709191196;0.08671472521071123;0.059481550252125315;0.026022609360493693;0.0386925891540604;0.04577394280305099;0.002493947172009539;0.02839823057178745;0.022955236378861522;0.005980012014636011;0.006080133981395518;0.01940545755738809;0.0023301112264030727;0.0016292574590865236;0.0010740356434201664;0.0009921176706169333;0.0007281597582509602;0.0006371397884695902;0.0010285256585294813;0.0003549778821473431;0.00018203993956274005;0.0;0.0;0.0
Alphen aan den Rijn;0.2586687171749412;0.11544264863766938;0.13201114238458636;0.11920030177291588;0.07863505788816992;0.06476511040826394;0.046615210515625456;0.044453471839363955;0.02850883556277747;0.028175144357716973;0.027565795200649973;0.01806285001305748;0.022139686040100977;0.004700693497373995;0.003888227954617996;0.001102631808025999;0.001987638917099498;0.0012186983141339988;0.0;0.0006528740968574994;0.0005222992774859995;0.0005368075907494995;0.0006238574703304994;0.00026114963874299975;0.00023213301221599976;0.0;2.901662652699997e-05;0.0
Alphen-Chaam;0.30407709414381023;0.1184581171237954;0.2112676056338028;0.0994810971089696;0.04877687175685693;0.0910303928836175;0.027131208302446256;0.006523350630096367;0.02283172720533729;0.032468495181616014;0.001927353595255745;0.001927353595255745;0.01541882876204596;0.004002965159377317;0.0031134173461823574;0.0;0.007116382505559674;0.0016308376575240918;0.0007412898443291327;0.0002965159377316531;0.0005930318754633062;0.00014825796886582654;0.00044477390659747963;0.0002965159377316531;0.0002965159377316531;0.0;0.0;0.0
Ameland;0.2595281306715064;0.09618874773139746;0.22250453720508168;0.09473684210526316;0.06279491833030854;0.06315789473684211;0.08711433756805807;0.019600725952813067;0.025045372050816698;0.02722323049001815;0.0029038112522686023;0.0;0.029038112522686024;0.0018148820326678765;0.0029038112522686023;0.0;0.0007259528130671506;0.0029038112522686023;0.0014519056261343012;0.0;0.0;0.0003629764065335753;0.0;0.0;0.0;0.0;0.0;0.0
Amersfoort;0.2108534071745331;0.0896400241510691;0.09568820136994857;0.15583685536424394;0.12332660156981949;0.0704336782494639;0.0562969748703962;0.06854947846182674;0.035112739688950886;0.020694967833274343;0.009473048656076285;0.03553954737565322;0.014615560783660553;0.0029772438633382608;0.004174387374820428;0.0012804230601070141;0.0015302617059815536;0.0009473048656076284;0.0;0.000593366783952031;0.0004163977431242323;0.0006141866711082426;0.0004163977431242323;0.0002914784201869626;0.00027065853303075095;0.0003643480252337032;6.245966146863484e-05;0.0
Amstelveen;0.28048903301174244;0.08882354125964269;0.08088783258474491;0.17998348405808778;0.10751475357006184;0.055207557050494474;0.06924610767588471;0.020725492960583295;0.038490201212511836;0.03228665229913996;0.003847005981993595;0.008036415637777196;0.017724425466776772;0.0031621986344135835;0.003947712944873009;0.005639589921247155;0.0008459384881870733;0.0007653729178835425;0.0005236762069729501;0.0004431106366694193;0.0005035348143970674;0.0006445245624282463;0.0;0.00026183810348647505;0.0;0.0;0.0;0.0
Amsterdam;0.1533737241416953;0.06824954969706894;0.02960973745974565;0.1886578243545658;0.19774466459254408;0.06402707275803722;0.0835740407183014;0.01491839965067409;0.06015610501610174;0.01943998690027837;0.0014999181267398068;0.06879973800556738;0.012460018557938978;0.0020828557393155396;0.005471317067845641;0.024941869985262814;0.0010021287047650238;0.000838382184378582;0.0004453905354511217;0.0009999454178265378;0.0005218055782981278;0.0005894874733911905;0.0;0.0003274930407728836;0.00026854429343376455;0.0;0.0;0.0
Apeldoorn;0.21930595426406546;0.11495498662292265;0.1255882984748179;0.12117483937742887;0.08692170992247154;0.08166852188177398;0.05853691878063546;0.04821606420997129;0.0299080203878376;0.0322905071572246;0.03230027144726307;0.01962622297732732;0.01651141445505497;0.003515144413849669;0.003036694201964575;0.0004101001816157947;0.0010447790341164293;0.0010545433241549006;0.0006346788525006347;0.0005858574023082781;0.0005858574023082781;0.0005272716620774503;0.0006151502724236921;0.00020505009080789736;0.00018552151073095475;0.000546800242154393;4.882145019235652e-05;0.0
Appingedam;0.12128240109140519;0.14938608458390176;0.14092769440654843;0.082537517053206;0.07626193724420191;0.195225102319236;0.09181446111869031;0.04324693042291951;0.021964529331514326;0.036834924965893585;0.0032742155525238743;0.011596180081855388;0.013369713506139155;0.002592087312414734;0.0017735334242837653;0.0008185538881309686;0.001364256480218281;0.0017735334242837653;0.00218281036834925;0.0008185538881309686;0.0008185538881309686;0.0;0.0;0.0;0.00013642564802182812;0.0;0.0;0.0
Arnhem;0.17105467795329823;0.11799862249772268;0.06768646270745851;0.1640227510053545;0.1449376791308405;0.10037992401519696;0.06425381590348597;0.024217378746472926;0.051745206514252705;0.023184252038481193;0.002455064542647026;0.0363038503410429;0.015208069497211669;0.0026328067719789375;0.004710169077295652;0.0024883912106467595;0.0011997600479904018;0.0009998000399920016;0.0005554444666622231;0.0007554044746606234;0.0005998800239952009;0.0003777022373303117;0.0007665133639938678;0.0005110089093292452;0.0002555044546646226;0.0006554244706614233;4.443555733297785e-05;0.0
Assen;0.16540126303838784;0.09917453109108541;0.1143357222261643;0.12348920267745216;0.1030062205823222;0.11944464154781334;0.09108540883180775;0.08363490148773622;0.030724473142694955;0.027247569715461578;0.007852598216608718;0.005085266917382152;0.01610728730575463;0.003216726980297547;0.003949951512571253;0.0;0.0016793207029494547;0.0012299250218784738;0.0009460961706757491;0.0;0.000969748574942643;0.0003784384682702997;0.0;0.0008041817450743868;0.00023652404266893729;0.0;0.0;0.0
Asten;0.27479917803101067;0.1232953484027648;0.20558565290491312;0.0958341117130581;0.05473566224546983;0.12180085933121614;0.034186437511675695;0.0047636839155613675;0.019988791331963386;0.03577433215019615;0.0015878946385204558;0.0009340556697179152;0.01606575751914814;0.0024285447412665793;0.0022417336073229962;9.340556697179151e-05;0.0008406501027461236;0.0014010835045768727;0.0013076779376050812;0.0005604334018307491;0.0004670278348589576;0.00028021670091537453;0.0;0.0005604334018307491;0.00018681113394358303;0.0;0.00028021670091537453;0.0
Baarle-Nassau;0.24934320515882494;0.17339383807021733;0.21925005970862194;0.07475519465010748;0.05111058036780511;0.09863864342010986;0.03009314545020301;0.00549319321710055;0.027943635060902795;0.03988535944590399;0.0021495103893002148;0.0019106759016001911;0.0160019106759016;0.0021495103893002148;0.0014330069262001434;0.0;0.0021495103893002148;0.0007165034631000717;0.0007165034631000717;0.0004776689754000478;0.0002388344877000239;0.0009553379508000956;0.0007165034631000717;0.0002388344877000239;0.0002388344877000239;0.0;0.0;0.0
Baarn;0.27966475518306133;0.09635137689835528;0.11116012351124835;0.15086016762240848;0.08904152750645913;0.05866784296426996;0.05431974289495242;0.036927342617682275;0.03736845421891739;0.026277648245005985;0.012099061062448799;0.015501921986262525;0.018778751024009076;0.0035919087529144873;0.0030247652656121998;0.0009452391455038125;0.000882223202470225;0.000882223202470225;0.0;0.0005041275442687;0.0004411116012351125;0.0004411116012351125;0.00025206377213435;0.000126031886067175;0.001386350746738925;0.0005041275442687;0.0;0.0
Barendrecht;0.2557684657207267;0.155781726561464;0.118353003580427;0.09972152234451664;0.06126508420633868;0.05914334968837024;0.044125447553374886;0.040942845776422224;0.024433099058480307;0.03517438005569553;0.04289881978517438;0.02058745524466251;0.02609070415064315;0.0053374883967643545;0.002453255536401008;0.0028510807585200902;0.0013592361755735314;0.0009282588516111921;0.0007956504442381647;0.00036467312027582547;0.0003315210184325686;0.00046412942580559605;0.0005304336294921098;0.0001657605092162843;3.315210184325686e-05;0.0;9.945630552977058e-05;0.0
Barneveld;0.1769156159068865;0.09857281418872108;0.19066093944852433;0.04788693362893169;0.02696411251212415;0.03211860884023832;0.019343217403353194;0.11727864763752252;0.011140363031730636;0.020202300124705558;0.22546764583622003;0.010336705002078426;0.013329638353886656;0.002909796314258002;0.001579603713454344;0.0002771234585007621;0.0008867950672024387;0.0010253567964528198;0.00044339753360121936;0.0002771234585007621;0.0006096716087016766;0.00024941111265068587;0.000942219758902591;0.00013856172925038105;0.00022169876680060968;0.00022169876680060968;0.0;0.0
Bedum;0.12233204411975361;0.07205271451081507;0.2071336484744306;0.09769374015184071;0.09511531299240797;0.12677266867211;0.0782122905027933;0.11860764933390631;0.026643747314138374;0.019767941555651054;0.013894857470276465;0.0;0.012175906030654634;0.0017189514396218307;0.0028649190660363843;0.0;0.0008594757198109154;0.001289213579716373;0.0014324595330181922;0.0005729838132072769;0.0007162297665090961;0.00014324595330181923;0.0;0.0;0.0;0.0;0.0;0.0
Beek;0.18899388549193996;0.19807300352047433;0.1689827682045581;0.11413748378728923;0.05892162312395775;0.11237724661849176;0.03677969242171577;0.006021863998517695;0.02556976097832129;0.04854548823420419;0.0011117287381878821;0.004168982768204558;0.025199184732258663;0.0037057624606262737;0.003149898091532333;9.264406151565684e-05;0.0012970168612191958;0.0009264406151565684;0.0;0.0008337965536409116;0.0004632203075782842;0.0006485084306095979;0.0;0.0;0.0;0.0;0.0;0.0
Beemster;0.3635637873223695;0.10410346479323009;0.11543988503911863;0.12118792910745649;0.07201021874501037;0.049177710362446114;0.06402682420565224;0.007025387194635159;0.03624461120868593;0.02538719463515887;0.0030336899249560913;0.0019160146894459523;0.02410985150886157;0.004470700942040556;0.002075682580233115;0.0009580073447229762;0.0003193357815743254;0.0012773431262973016;0.001117675235510139;0.0009580073447229762;0.0004790036723614881;0.0006386715631486508;0.0;0.0001596678907871627;0.0;0.0;0.0;0.0003193357815743254
Beesel;0.19037199124726478;0.2138341842937029;0.15341599805494774;0.09773887673231219;0.059931923170435206;0.12387551665451009;0.03963044006807683;0.004862630683199611;0.02236810114271821;0.054096766350595675;0.0015803549720398735;0.010819353270119134;0.017140773158278628;0.00437636761487965;0.0015803549720398735;0.00036469730123997083;0.0018234865061998542;0.0006078288353999514;0.0;0.00036469730123997083;0.0008509603695599319;0.00036469730123997083;0.0;0.0;0.0;0.0;0.0;0.0
Bellingwedde;0.14162497843712266;0.19372089011557703;0.09573917543557012;0.06934621355873728;0.07089874072796273;0.18440572710022426;0.0950491633603588;0.028117992064861135;0.04674831809556667;0.03846817319303088;0.0027600483008452647;0.00017250301880282904;0.020527859237536656;0.0015525271692254615;0.004140072451267897;0.00017250301880282904;0.0020700362256339485;0.0018975332068311196;0.0010350181128169743;0.0005175090564084871;0.0005175090564084871;0.00017250301880282904;0.0;0.00017250301880282904;0.00017250301880282904;0.0;0.0;0.0
Berg en Dal;0.20020372649717755;0.15139425321505878;0.12771104791816987;0.11162514324519333;0.10177836254827893;0.14799881159543313;0.057764950553881415;0.0076397436441577185;0.03582190908705064;0.03166249310300921;0.001612834769322185;0.0015703917490768643;0.013114893255804084;0.0025041381944739187;0.00258902423496456;0.0006366453036798098;0.0006790883239251305;0.0011884045668689783;0.0005942022834344891;0.00046687322269852724;0.00046687322269852724;0.00025465812147192394;0.00021221510122660327;0.00025465812147192394;0.00016977208098128263;0.0;8.488604049064132e-05;0.0
Bergeijk;0.2571717001766636;0.1324976865483301;0.22133423067216287;0.09228569024985278;0.048372171279549084;0.1165979641625305;0.03306132750063094;0.007823672919996635;0.02119962984773282;0.03550096744342559;0.0027761420038697735;0.0005047530916126861;0.01716160511483133;0.005215781946664423;0.0021872633969883064;0.00042062757634390513;0.0008412551526878103;0.0010095061832253722;0.002523765458063431;0.0005047530916126861;0.0003365020610751241;8.412551526878102e-05;0.0;0.0003365020610751241;0.00025237654580634306;0.0;0.0;0.0
Bergen;0.29661868095078675;0.10693959538954517;0.1000047826294897;0.1269309866564637;0.10426132287531685;0.05796546941508442;0.06580898177818165;0.010617437467119422;0.057535032761012;0.03013056578506863;0.0016739203213927017;0.000717394423454015;0.02094791716485724;0.010282653402840881;0.00286957769381606;0.000286957769381606;0.0021043569754651105;0.0016260940264957674;0.0005260892438662776;0.00047826294896934334;0.000573915538763212;0.0005260892438662776;0.0;0.000430436654072409;0.0;0.0;0.0;0.000143478884690803
Bergen;0.19135432882289546;0.19027661357921208;0.1840498143934858;0.0705304753921686;0.04454556340558017;0.20344868877978686;0.029218057717638607;0.004550353251107652;0.019758112800862173;0.03807927194347982;0.0013172075200574781;0.0009579691054963477;0.014369536582445216;0.0031133995928631303;0.0011974613818704347;0.00011974613818704346;0.0010777152436833913;0.0013172075200574781;0.0;0.0003592384145611304;0.0;0.00023949227637408692;0.0;0.00011974613818704346;0.0;0.0;0.0;0.0
Bergen op Zoom;0.23984239716917208;0.17261023414560694;0.10572941501242251;0.10321981579541747;0.0795542951790599;0.10648229477752402;0.0421863628378548;0.010465028734911034;0.024819936256179887;0.04085627525284212;0.0015810475067131778;0.04376741034456797;0.01530855522373077;0.003061711044746154;0.0022837352874745904;0.0004015358747208071;0.0009787436946319672;0.0010791276633121691;0.0034883429116370117;0.000627399804251261;0.0002760559138705549;0.0004015358747208071;0.0005019198434010088;0.0002509599217005044;0.00010038396868020177;0.0;0.0001254799608502522;0.0
Berkelland;0.22564896804821385;0.10083835561092219;0.20534662132588127;0.11474361132621798;0.06642873977307161;0.12908656274199523;0.06791017137470119;0.014107269115517997;0.01935961752129558;0.026329079828961988;0.0026935120029628634;0.0023231541025554693;0.012861519814147671;0.003972930204370223;0.0018181206019999327;0.00040402680044442947;0.0008080536008888589;0.0021548096023702905;0.001111073701222181;0.0005050335005555368;0.0003030201003333221;0.00013467560014814316;6.733780007407158e-05;0.0003366890003703579;6.733780007407158e-05;0.0005723713006296085;6.733780007407158e-05;0.0
Bernheze;0.254594281501764;0.11779263861829288;0.20246432520667684;0.10936759517666263;0.052024643252066766;0.1527565689010584;0.03375283028803117;0.005686904323100416;0.014480543415301986;0.029224369438154915;0.0011057869517139699;0.0022642304249381284;0.014796482544363119;0.0031067347691011533;0.0023168869464483175;0.0006318782581222685;0.0008425043441630246;0.001316413037754726;0.0005265652151018904;0.00010531304302037807;0.00036859565057132326;0.00010531304302037807;0.0;0.0002632826075509452;0.00010531304302037807;0.0;0.0;0.0
Best;0.2641182522063999;0.12756510910173804;0.1341166278629054;0.12225892035302399;0.06551518761167362;0.1187936542314148;0.03773891385565001;0.021820347609507823;0.022307650657859116;0.043315826520114786;0.002111646542855596;0.012182576208782284;0.015106394498890032;0.00465645135091234;0.0022740808923060263;0.0004331582652011479;0.0010287508798527262;0.001461909145053874;0.001353619578753587;0.0007038821809518653;0.0004331582652011479;0.0004331582652011479;0.0;0.00016243434945043046;0.0;0.0;0.00010828956630028697;0.0
