;aantal
Aa en Hunze;3.2575211046563135
Aalburg;1.613572793661642
Aalsmeer;3.843009201250459
Aalten;3.455847919909886
Achtkarspelen;3.5553277391755578
Alblasserdam;2.4638341496753617
Albrandswaard;3.1644960828239106
Alkmaar;11.931123514447355
Almelo;9.20846464416347
Almere;24.447608560833302
Alphen aan den Rijn;9.220614851096682
Alphen-Chaam;1.2055283441546114
Ameland;0.44626697548442623
Amersfoort;18.76321018592348
Amstelveen;10.55080938097227
Amsterdam;100.0
Apeldoorn;19.865714900456897
Appingedam;1.5254837933958563
Arnhem;18.89243269924441
Assen;8.506157370492716
Asten;2.0761666097125717
Baarle-Nassau;0.8507676146359368
Baarn;3.082102492058068
Barendrecht;5.955246737796003
Barneveld;6.77386692992115
Bedum;1.3299414005644783
Beek;2.082874536456949
Beemster;1.1035172317778537
Beesel;1.7392514966270518
Bellingwedde;1.1748996975104733
Bergambacht;1.2540026072319044
Bergeijk;2.293731252610396
Bergen;1.6815380136942957
Bergen;3.883256761716723
Bergen op Zoom;8.369720671805192
Berkelland;5.684145245598714
Bernheze;3.7718798648289478
Bernisse;1.5726924099176063
Best;3.631899355785903
Beuningen;3.218918884712255
Beverwijk;5.042842135905127
Het Bildt;1.3666451506752224
De Bilt;5.325714141068965
Binnenmaas;3.665565554163344
Bladel;2.478389085064105
Blaricum;1.1438913568996723
Bloemendaal;2.791510042905418
Boarnsterhim;2.4528230246421385
Bodegraven-Reeuwijk;4.155623900469554
Boekel;1.2614699219096075
Ten Boer;0.9463239295794256
Bonaire;0.3
Borger-Odoorn;3.2728354279783827
Borne;2.732024654794902
Borsele;2.869980129349078
Boskoop;1.9094809583475718
Boxmeer;3.5940565237751705
Boxtel;3.8328840288061157
Breda;22.326131804432293
Brielle;2.0341471440685472
Bronckhorst;4.738707268608168
Brummen;2.699244409006341
Brunssum;3.695561377529711
Bunnik;1.8289858374150434
Bunschoten;2.556606042196656
Buren;3.284226246978269
Bussum;4.124109301236537
Capelle aan den IJssel;8.368708154560757
Castricum;4.36318993557859
Coevorden;4.541266405943476
Cranendonck;2.5859690422852513
Cromstrijen;1.617496297983825
Cuijk;3.1195656301021377
Culemborg;3.4972345622761387
Dalfsen;3.4719216311652805
Dantumadiel;2.4381415245978406
Delft;12.488767386819557
Delfzijl;3.329283264355596
Deurne;4.019946589715356
Deventer;12.488387692852893
Diemen;3.1558896862462187
Dinkelland;3.299920264267001
Dirksland;1.0727620204781612
Doesburg;1.4678968751186543
Doetinchem;7.119515004239916
Dongen;3.190062143245877
Dongeradeel;3.073496095480376
Dordrecht;15.043728088494007
Drechterland;2.4426978521977953
Drimmelen;3.3747199756995863
Dronten;5.122071610282113
Druten;2.302590778499196
Duiven;3.23056283302325
Echt-Susteren;4.0709521459037346
Edam-Volendam;3.6324056144081203
Ede;13.765551632051233
Eemnes;1.1168065206110542
Eemsmond;2.0547771829238966
Eersel;2.29917353279923
Eijsden-Margraten;3.163357000923922
Eindhoven;27.493007302780626
Elburg;2.8370733189049626
Emmen;13.775043981217804
Enkhuizen;2.312083127665768
Enschede;20.00329068104441
Epe;4.115756033969953
Ermelo;3.3067547556669323
Etten-Leur;5.3217906367467815
Ferwerderadiel;1.11845186113326
Franekeradeel;2.5960942147295945
Gaasterlân-Sleat;1.2902000987204314
Geertruidenberg;2.7174697194061586
Geldermalsen;3.3329536393666706
Geldrop-Mierlo;4.894381794939945
Gemert-Bakel;3.675564161952133
Gennep;2.198048373011353
Giessenlanden;1.836200022781638
Gilze en Rijen;3.2386629709787242
Goedereede;1.4403057802078192
Goes;4.672893647719937
Goirle;2.8863069699155814
Gorinchem;4.440267810811153
Gouda;9.015833238409842
Graafstroom;1.2397008011542696
Graft-De Rijp;0.8145701231474098
Grave;1.6199010264393565
s-Gravenhage;63.54241814430902
Groesbeek;2.3900469554872106
Groningen;24.443052233233345
Grootegast;1.5535811469289087
Gulpen-Wittem;1.8325296477705635
Haaksbergen;3.0905823239802053
Haaren;1.7239371733049829
Haarlem;19.214792876941186
Haarlemmerliede en Spaarnwoude;0.6928149245041829
Haarlemmermeer;18.21809621445115
Halderberge;3.7115085241295516
Hardenberg;7.521737479591449
Harderwijk;5.749705737175836
Hardinxveld-Giessendam;2.234372429155434
Haren;2.3360038475655287
Harenkarspel;2.0495880320461706
