"Perioden";"aantal"
"Aa en Hunze";"2002";"25552"
"Aalburg";"2002";"12006"
"Aalsmeer";"2002";"22786"
"Aalten";"2002";"18811"
"Ter Aar";"2002";"9083"
"Abcoude";"2002";"8524"
"Achtkarspelen";"2002";"28045"
"Alblasserdam";"2002";"18388"
"Albrandswaard";"2002";"18092"
"Alkemade";"2002";"14409"
"Alkmaar";"2002";"92992"
"Almelo";"2002";"71026"
"Almere";"2002";"158902"
"Alphen aan den Rijn";"2002";"70649"
"Alphen-Chaam";"2002";"9447"
"Ambt Montfort";"2002";"11037"
"Ameland";"2002";"3564"
"Amerongen";"2002";"7220"
"Amersfoort";"2002";"129720"
"Amstelveen";"2002";"77256"
"Amsterdam";"2002";"735526"
"Andijk";"2002";"6418"
"Angerlo";"2002";"4921"
"Anna Paulowna";"2002";"13981"
"Apeldoorn";"2002";"154859"
"Appingedam";"2002";"12443"
"Arcen en Velden";"2002";"8962"
"Arnhem";"2002";"140736"
"Assen";"2002";"60230"
"Asten";"2002";"15936"
"Axel";"2002";"12316"
"Baarle-Nassau";"2002";"6468"
"Baarn";"2002";"24469"
"Barendrecht";"2002";"33894"
"Barneveld";"2002";"48958"
"Bathmen";"2002";"5238"
"Bedum";"2002";"10916"
"Beek (L.)";"2002";"17120"
"Beemster";"2002";"8583"
"Beesel";"2002";"13403"
"Bellingwedde";"2002";"9722"
"Bemmel";"2002";"41810"
"Bennebroek";"2002";"5329"
"Bergambacht";"2002";"9225"
"Bergeijk";"2002";"17974"
"Bergen (L.)";"2002";"13539"
"Bergen (NH.)";"2002";"31926"
"Bergen op Zoom";"2002";"65793"
"Bergh";"2002";"18373"
"Bergschenhoek";"2002";"13674"
"Berkel en Rodenrijs";"2002";"16943"
"Bernheze";"2002";"28780"
"Bernisse";"2002";"12760"
"Best";"2002";"27450"
"Beuningen";"2002";"25429"
"Beverwijk";"2002";"35780"
"het Bildt";"2002";"10437"
"De Bilt";"2002";"42309"
"Binnenmaas";"2002";"19213"
"Bladel";"2002";"19046"
"Blaricum";"2002";"9343"
"Bleiswijk";"2002";"10392"
"Bloemendaal";"2002";"17097"
"Boarnsterhim";"2002";"18738"
"Bodegraven";"2002";"19605"
"Boekel";"2002";"9295"
"Ten Boer";"2002";"7461"
"Bolsward";"2002";"9378"
"Borculo";"2002";"10502"
"Borger-Odoorn";"2002";"26333"
"Borne";"2002";"20729"
"Borsele";"2002";"22251"
"Boskoop";"2002";"15226"
"Boxmeer";"2002";"29282"
"Boxtel";"2002";"29371"
"Breda";"2002";"163427"
"Breukelen";"2002";"14256"
"Brielle";"2002";"16001"
"Brummen";"2002";"21613"
"Brunssum";"2002";"30158"
"Bunnik";"2002";"13845"
"Bunschoten";"2002";"19327"
"Buren";"2002";"25609"
"Bussum";"2002";"31014"
"Capelle aan den IJssel";"2002";"65226"
"Castricum";"2002";"35177"
"Coevorden";"2002";"35756"
"Cranendonck";"2002";"20320"
"Cromstrijen";"2002";"12834"
"Cuijk";"2002";"24415"
"Culemborg";"2002";"26203"
"Dalfsen";"2002";"26061"
"Dantumadeel";"2002";"19765"
"Delft";"2002";"96936"
"Delfzijl";"2002";"29018"
"Denekamp";"2002";"26064"
"Deurne";"2002";"32124"
"Deventer";"2002";"86072"
"Didam";"2002";"16733"
"Diemen";"2002";"23971"
"Dinxperlo";"2002";"8572"
"Dirksland";"2002";"8263"
"Doesburg";"2002";"11476"
"Doetinchem";"2002";"48701"
"Dongen";"2002";"25143"
"Dongeradeel";"2002";"24953"
"Doorn";"2002";"10205"
"Dordrecht";"2002";"120222"
"Drechterland";"2002";"10078"
"Driebergen-Rijsenburg";"2002";"18438"
"Drimmelen";"2002";"26772"
"Dronten";"2002";"36369"
"Druten";"2002";"17461"
"Duiven";"2002";"26051"
"Echt";"2002";"19152"
"Edam-Volendam";"2002";"27833"
"Ede";"2002";"103708"
"Eemnes";"2002";"8609"
"Eemsmond";"2002";"17048"
"Eersel";"2002";"18386"
"Eibergen";"2002";"16726"
"Eijsden";"2002";"12029"
"Eindhoven";"2002";"204776"
"Elburg";"2002";"21704"
"Emmen";"2002";"108367"
"Enkhuizen";"2002";"17076"
"Enschede";"2002";"151346"
"Epe";"2002";"33224"
"Ermelo";"2002";"26760"
"Etten-Leur";"2002";"38613"
"Ferwerderadiel";"2002";"8894"
"Franekeradeel";"2002";"20743"
"Gaasterlân-Sleat";"2002";"10259"
"Geertruidenberg";"2002";"20988"
"Geldermalsen";"2002";"25055"
"Geldrop";"2002";"28180"
"Gemert-Bakel";"2002";"27729"
"Gendringen";"2002";"21033"
"Gennep";"2002";"16847"
"Giessenlanden";"2002";"14257"
"Gilze en Rijen";"2002";"24737"
"Goedereede";"2002";"11363"
